ApplicationID,DeptName,Program,DateOfApplication,Year,Glyphosate,Tier1,QtyAppliedUOM,QtyApplied,Gallons,Location,Address,Latitude,Longitude,NoSprayings,PF
19005,Parks and Recreation,Restoration,08/22/2012,2012,N,N,Fl. Oz,80,0.625,Madrona Ravine,E Spring Street,47.611437,-122.285814,0,0
19006,Parks and Recreation,Restoration,08/31/2012,2012,N,N,Fl. Oz,80,0.625,Madrona Ravine,E Spring Street,47.611437,-122.285814,0,0
19007,Parks and Recreation,Restoration,09/14/2012,2012,N,N,Fl. Oz,80,0.625,Madrona Ravine,E Spring Street,47.611437,-122.285814,0,0
19008,Parks and Recreation,Restoration,08/30/2012,2012,N,N,Gal(s),1.5,1.5,Frink Park,398 Lake Washington Blvd S,47.59927,-122.291361,0,0
19009,Parks and Recreation,Restoration,09/06/2012,2012,N,N,Gal(s),1.5,1.5,Frink Park,398 Lake Washington Blvd S,47.59927,-122.291361,0,0
19010,Parks and Recreation,Restoration,09/06/2012,2012,Y,N,Fl. Oz,0.9,0.00703125,Frink Park,398 Lake Washington Blvd S,47.59927,-122.291361,0,0
19011,Parks and Recreation,Restoration,08/30/2012,2012,Y,N,Fl. Oz,0.9,0.00703125,Frink Park,398 Lake Washington Blvd S,47.59927,-122.291361,0,0
19012,Parks and Recreation,Restoration,10/02/2012,2012,N,N,Gal(s),1.5,1.5,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19013,Parks and Recreation,Restoration,10/03/2012,2012,N,N,Gal(s),1.5,1.5,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19014,Parks and Recreation,Restoration,10/17/2012,2012,N,N,Gal(s),1.5,1.5,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19015,Parks and Recreation,Restoration,10/25/2012,2012,N,N,Gal(s),1.5,1.5,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19016,Parks and Recreation,Restoration,11/06/2012,2012,N,N,Gal(s),1.5,1.5,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19017,Parks and Recreation,Restoration,10/02/2012,2012,Y,N,Fl. Oz,7.5,0.05859375,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19018,Parks and Recreation,Restoration,10/03/2012,2012,Y,N,Fl. Oz,7.5,0.05859375,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19019,Parks and Recreation,Restoration,10/17/2012,2012,Y,N,Fl. Oz,7.5,0.05859375,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19020,Parks and Recreation,Restoration,10/25/2012,2012,Y,N,Fl. Oz,7.5,0.05859375,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19021,Parks and Recreation,Restoration,11/06/2012,2012,Y,N,Fl. Oz,7.5,0.05859375,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19022,Parks and Recreation,Restoration,09/18/2012,2012,N,N,Gal(s),2.5,2.5,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19023,Parks and Recreation,Restoration,09/20/2012,2012,N,N,Gal(s),2.5,2.5,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19024,Parks and Recreation,Restoration,09/24/2012,2012,N,N,Gal(s),2.5,2.5,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19025,Parks and Recreation,Restoration,10/01/2012,2012,N,N,Gal(s),2.5,2.5,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19026,Parks and Recreation,Restoration,09/18/2012,2012,Y,N,Fl. Oz,8.25,0.064453125,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19027,Parks and Recreation,Restoration,09/20/2012,2012,Y,N,Fl. Oz,8.25,0.064453125,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19028,Parks and Recreation,Restoration,09/24/2012,2012,Y,N,Fl. Oz,8.25,0.064453125,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19029,Parks and Recreation,Restoration,10/01/2012,2012,Y,N,Fl. Oz,8.25,0.064453125,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19030,Parks and Recreation,Restoration,10/02/2012,2012,Y,N,Fl. Oz,4.05,0.031640625,Chinook Beach Park,Rainier Ave S and Ithaca Place S,47.520135,-122.258376,0,0
19031,Parks and Recreation,Restoration,10/02/2012,2012,N,N,Gal(s),1,1,Chinook Beach Park,Rainier Ave S and Ithaca Place S,47.520135,-122.258376,0,0
19032,Parks and Recreation,Restoration,10/10/2012,2012,N,N,Gal(s),4,4,East Duwamish Greenbelt,4599 10th Ave South,47.561687,-122.32017,0,0
19033,Parks and Recreation,Restoration,10/11/2012,2012,N,N,Gal(s),4,4,East Duwamish Greenbelt,4599 10th Ave South,47.561687,-122.32017,0,0
19034,Parks and Recreation,Restoration,10/17/2012,2012,N,N,Gal(s),4,4,East Duwamish Greenbelt,4599 10th Ave South,47.561687,-122.32017,0,0
19047,Seattle Center,Seattle Center,02/07/2013,2013,N,Y,Dry Oz,208,1.625,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19048,Seattle Center,Seattle Center,02/04/2013,2013,N,Y,Dry Oz,224,1.75,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19049,Seattle Center,Seattle Center,02/14/2013,2013,N,Y,Dry Oz,352,2.75,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19050,Seattle Center,Seattle Center,02/14/2013,2013,N,Y,Dry Oz,192,1.5,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19051,Seattle Center,Seattle Center,02/27/2013,2013,N,Y,Cup(s),3,0.1875,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19053,Parks and Recreation,Developed Park,03/05/2013,2013,Y,N,Dry Oz,2,0.015625,Mounger Pool Grounds,2518 34th Ave W,47.642817,-122.398852,0,0
19054,Parks and Recreation,Developed Park,03/05/2013,2013,Y,N,Dry Oz,2,0.015625,Mounger Pool Grounds,2518 34th Ave W,47.642817,-122.398852,0,0
19060,Parks and Recreation,Developed Park,02/27/2012,2012,Y,N,Gal(s),0.5,0.5,Dragonfly Pavilion,Yancy St,47.566545,-122.366942,0,0
